,person_id,id,name,character,role,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,11472,ts22164,Graham Chapman,Various,ACTOR,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
1,11476,ts22164,Michael Palin,"Various / ""It's"" man",ACTOR,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
2,11475,ts22164,Terry Jones,Various,ACTOR,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
3,11474,ts22164,Eric Idle,Various,ACTOR,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
4,11473,ts22164,Terry Gilliam,Various,ACTOR,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
5,11472,ts45948,Graham Chapman,Various Characters,ACTOR,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
6,1549,ts45948,John Cleese,Various Characters,ACTOR,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
7,11474,ts45948,Eric Idle,Various Characters,ACTOR,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
8,11475,ts45948,Terry Jones,Various Characters,ACTOR,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
9,11476,ts45948,Michael Palin,Various Characters,ACTOR,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
10,16383,ts45948,Ian MacNaughton,Not Available,DIRECTOR,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
11,32954,ts20681,Jerry Seinfeld,Jerry Seinfeld,ACTOR,Seinfeld,SHOW,1989,TV-PG,24,comedy,US,9.0,tt0098904,8.9,308824.0,130.213,8.301
12,12464,ts20681,Jason Alexander,George Costanza,ACTOR,Seinfeld,SHOW,1989,TV-PG,24,comedy,US,9.0,tt0098904,8.9,308824.0,130.213,8.301
13,43320,ts20681,Michael Richards,Cosmo Kramer,ACTOR,Seinfeld,SHOW,1989,TV-PG,24,comedy,US,9.0,tt0098904,8.9,308824.0,130.213,8.301
14,12018,ts20681,Julia Louis-Dreyfus,Elaine Benes,ACTOR,Seinfeld,SHOW,1989,TV-PG,24,comedy,US,9.0,tt0098904,8.9,308824.0,130.213,8.301
15,8464,ts22082,David Hasselhoff,Michael Knight,ACTOR,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
16,63898,ts22082,Edward Mulhare,Devon Miles,ACTOR,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
17,30068,ts22082,William Daniels,K.I.T.T. (voice),ACTOR,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
18,90786,ts22082,Patricia McPherson,Bonnie Barstow,ACTOR,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
19,90788,ts22082,Peter Parros,RC3,ACTOR,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
20,1381431,ts21715,Rachael Louise Miller,Not Available,ACTOR,Thomas & Friends,SHOW,1984,TV-Y,10,action,GB,24.0,tt0086815,6.5,5104.0,42.196,6.5
21,49815,ts20678,Mark-Paul Gosselaar,Zack Morris,ACTOR,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
22,201,ts20678,Mario López,A.C. Slater,ACTOR,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
23,53237,ts20678,Dustin Diamond,Samuel 'Screech' Powers,ACTOR,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
24,66271,ts20678,Lark Voorhies,Lisa Turtle,ACTOR,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
25,81048,ts20678,Dennis Haskins,Richard Belding,ACTOR,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
26,129833,ts25028,Vanna White,Co-Host,ACTOR,Wheel of Fortune,SHOW,1983,TV-G,26,family,US,39.0,tt0072584,6.7,3145.0,5.935,6.8
27,421000,ts25028,Pat Sajak,Host,ACTOR,Wheel of Fortune,SHOW,1983,TV-G,26,family,US,39.0,tt0072584,6.7,3145.0,5.935,6.8
28,9835,ts23753,Gerald McRaney,Major John D. MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
29,192,ts23753,Shanna Reed,Pollyanna Esther Cooper MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
30,37759,ts23753,Matt Mulhern,Eugene Holowachuk,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
31,66339,ts23753,Jon Cypher,General Marcus Craig,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
32,96173,ts23753,Beverly Archer,Alva Bricker,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
33,47978,ts23753,Marisa Ryan,Elizabeth Cooper MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
34,38704,ts23753,Nicole Dubuc,Robin Cooper MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
35,97165,ts23753,Chelsea Hertford,Casey Cooper MacGillis,ACTOR,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
36,43162,ts987,David Jason,Danger Mouse / Narrator (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
37,99172,ts987,Terry Scott,Penfold (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
38,18355,ts987,Edward Kelsey,Colonel K / Baron Greenback (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
39,99173,ts987,Brian Trueman,Stiletto (voice),ACTOR,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
40,114128,ts2760,Steven Kynman,Sam / Elvis / Norman / Derek / Charlie / Jerry Lee (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
41,114126,ts2760,David Carling,Station Officer Steele / Chief Fire Officer Boyce / Trevor / Tom / Mike (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
42,114127,ts2760,Su Douglas,Dilys / Mandy / Helen / Lily (voice),ACTOR,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
