,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,documentation,US,1.0,,,,0.6,
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
26,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,Not Available,1.0,tt0202477,8.1,2151.0,1.487,7.0
35,ts20681,Seinfeld,SHOW,1989,TV-PG,24,comedy,US,9.0,tt0098904,8.9,308824.0,130.213,8.301
44,ts22082,Knight Rider,SHOW,1982,TV-PG,51,action,US,4.0,tt0083437,6.9,34115.0,50.267,7.5
45,ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,action,GB,24.0,tt0086815,6.5,5104.0,42.196,6.5
46,ts20678,Saved by the Bell,SHOW,1989,TV-G,23,comedy,US,5.0,tt0096694,7.1,35034.0,19.855,8.0
48,ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,family,US,39.0,tt0072584,6.7,3145.0,5.935,6.8
53,ts23753,Major Dad,SHOW,1989,TV-PG,24,family,US,4.0,tt0096643,6.5,2922.0,9.849,6.5
55,ts987,Danger Mouse,SHOW,1981,TV-Y,14,scifi,GB,10.0,tt0081848,7.4,3545.0,8.55,7.5
59,ts2760,Fireman Sam,SHOW,1987,TV-Y,10,animation,GB,13.0,tt0329829,6.1,1785.0,37.647,7.2
83,ts63001,High Risk,SHOW,1988,TV-PG,50,comedy,US,1.0,tt5944220,3.8,6.0,1.4,
91,ts20981,Survivor,SHOW,2000,TV-PG,48,reality,US,42.0,tt0239195,7.4,24687.0,54.19,7.4
93,ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,scifi,CA,10.0,tt0118480,8.4,90196.0,88.851,8.3
95,ts21223,Pokémon,SHOW,1997,TV-Y7,22,scifi,JP,25.0,tt14053732,7.4,198.0,115.356,7.633
100,ts20339,One Piece,SHOW,1999,TV-14,23,fantasy,JP,21.0,tt0388629,8.8,117129.0,143.457,8.764
101,ts5145,The Challenge,SHOW,1998,TV-14,40,reality,US,37.0,tt6274074,7.8,3362.0,18.075,7.7
103,ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,animation,JP,1.0,tt0213338,8.9,115448.0,35.402,8.522
107,ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
110,ts21567,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
114,ts20960,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
117,ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
119,ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
120,ts22489,Goosebumps,SHOW,1995,TV-PG,22,fantasy,CA,4.0,tt0111987,7.6,13493.0,63.687,7.9
121,ts21034,InuYasha,SHOW,2000,TV-14,25,comedy,JP,9.0,tt0290223,7.9,15823.0,62.355,8.6
125,ts16919,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
134,ts8570,Barney & Friends,SHOW,1992,TV-G,28,family,US,14.0,tt0144701,3.8,9624.0,14.641,4.9
136,ts27693,Kenan & Kel,SHOW,1996,TV-Y7,25,comedy,US,4.0,tt0115231,7.8,15620.0,33.544,8.3
145,ts251477,My First Errand,SHOW,1991,TV-G,18,family,JP,12.0,,,,7.73,7.8
147,ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,romance,JP,4.0,tt0221735,8.0,5008.0,35.757,8.7
149,ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,scifi,US,4.0,tt0222518,6.2,3902.0,13.313,6.3
151,ts21581,Girlfriends,SHOW,2000,TV-PG,21,comedy,US,8.0,tt0247102,7.2,4528.0,12.163,7.7
157,ts20918,The Parkers,SHOW,1999,TV-PG,19,comedy,US,5.0,tt0200353,6.8,2377.0,5.745,8.1
158,ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,comedy,US,6.0,tt0108927,6.2,12657.0,21.489,7.5
159,ts20939,Moesha,SHOW,1996,TV-PG,21,comedy,US,6.0,tt0115275,5.8,3747.0,10.901,7.0
160,ts21684,Heartbreak High,SHOW,1994,TV-MA,45,romance,AU,7.0,tt5582224,7.8,3139.0,7.222,7.3
161,ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,family,FR,7.0,tt0213363,7.4,4281.0,40.189,7.5
165,ts28516,Okupas,SHOW,2000,TV-MA,40,drama,AR,1.0,tt0289649,9.0,2399.0,8.565,8.8
169,ts22039,H,SHOW,1998,TV-MA,25,comedy,FR,4.0,tt0173554,7.4,1727.0,7.905,7.6
177,ts224786,Escalona,SHOW,1991,TV-MA,44,drama,CO,1.0,,,,7.352,7.6
216,ts4,Breaking Bad,SHOW,2008,TV-MA,48,drama,US,5.0,tt0903747,9.5,1775990.0,353.848,8.79
217,ts20371,Top Gear,SHOW,2002,TV-PG,58,comedy,GB,32.0,tt1628033,8.7,117240.0,45.549,7.4
218,ts9,The Walking Dead,SHOW,2010,TV-MA,46,drama,US,11.0,tt1520211,8.2,956604.0,597.277,8.1
219,ts21465,Supernatural,SHOW,2005,TV-14,45,fantasy,US,15.0,tt0460681,8.4,434081.0,388.093,8.278
222,ts288536,The Great British Baking Show,SHOW,2010,TV-PG,57,european,GB,12.0,tt1877368,8.6,9856.0,5.581,7.7
223,ts12724,30 Rock,SHOW,2006,TV-14,25,sport,US,7.0,tt0496424,8.3,122698.0,48.88,7.4
224,ts6644,Borgen,SHOW,2010,TV-MA,58,drama,DK,4.0,tt1526318,8.5,25485.0,51.118,8.1
225,ts8308,Community,SHOW,2009,TV-PG,23,comedy,US,6.0,tt1439629,8.5,257221.0,42.357,8.0
227,ts21469,Grey's Anatomy,SHOW,2005,TV-14,49,drama,US,19.0,tt0413573,7.6,299165.0,803.786,8.252
