,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,documentation,US,1.0,,,,0.6,
1,tm84618,Taxi Driver,MOVIE,1976,R,114,crime,US,,tt0075314,8.2,808582.0,40.965,8.179
2,tm154986,Deliverance,MOVIE,1972,R,109,drama,US,,tt0068473,7.7,107673.0,10.01,7.3
3,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,fantasy,GB,,tt0071853,8.2,534486.0,15.461,7.811
4,tm120801,The Dirty Dozen,MOVIE,1967,Not Available,150,war,GB,,tt0061578,7.7,72662.0,20.398,7.6
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,GB,4.0,tt0063929,8.8,73424.0,17.617,8.306
6,tm70993,Life of Brian,MOVIE,1979,R,94,comedy,GB,,tt0079470,8.0,395024.0,17.77,7.8
7,tm14873,Dirty Harry,MOVIE,1971,R,102,thriller,US,,tt0066999,7.7,155051.0,12.817,7.5
8,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,action,US,,tt0061418,7.7,112048.0,15.687,7.5
9,tm98978,The Blue Lagoon,MOVIE,1980,R,104,romance,US,,tt0080453,5.8,69844.0,50.324,6.156
10,tm44204,The Guns of Navarone,MOVIE,1961,Not Available,158,action,US,,tt0054953,7.5,50748.0,13.844,7.3
11,tm67378,The Professionals,MOVIE,1966,PG-13,117,european,US,,tt0060862,7.3,16446.0,13.123,7.1
12,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,comedy,US,,tt0079807,8.1,5141.0,4.718,7.5
13,tm16479,White Christmas,MOVIE,1954,Not Available,115,romance,US,,tt0047673,7.5,42488.0,8.915,7.2
14,tm135083,Cairo Station,MOVIE,1958,Not Available,77,comedy,EG,,tt0051390,7.5,4471.0,5.546,7.3
15,tm89386,Hitler: A Career,MOVIE,1977,PG,150,european,DE,,tt0191182,7.5,2460.0,4.305,7.3
16,tm156453,FTA,MOVIE,1972,R,97,comedy,US,,tt0068562,6.2,418.0,1.268,6.1
17,tm14350,Alexandria… Why?,MOVIE,1979,Not Available,133,drama,EG,,tt0077751,7.2,1727.0,1.37,6.0
18,tm81728,The Land,MOVIE,1969,Not Available,129,drama,EG,,tt0064038,8.1,1958.0,1.265,8.5
19,tm94651,Dostana,MOVIE,1980,Not Available,161,action,IN,,tt0080653,2.1,25.0,3.98,4.9
20,tm27298,Saladin the Victorious,MOVIE,1963,Not Available,186,history,EG,,tt0057357,7.6,2508.0,4.156,7.1
21,tm100027,Alibaba Aur 40 Chor,MOVIE,1979,Not Available,146,fantasy,IN,,tt0079749,6.2,565.0,2.582,6.8
22,tm19608,The Blazing Sun,MOVIE,1954,Not Available,100,crime,EG,,tt0047500,7.4,1219.0,2.184,7.0
23,tm204541,Dark Waters,MOVIE,1956,Not Available,120,action,EG,,tt0049761,6.7,610.0,0.849,5.9
24,tm259855,We Are All for the Fatherland,MOVIE,1979,Not Available,74,documentation,LB,,tt0170799,6.1,47.0,0.6,5.2
25,tm356209,Singapore,MOVIE,1960,Not Available,158,drama,IN,,tt0268639,6.4,84.0,0.792,6.3
26,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,,1.0,tt0202477,8.1,2151.0,1.487,7.0
27,tm200475,"Beirut, Oh Beirut",MOVIE,1975,Not Available,110,drama,LB,,tt0169599,6.4,108.0,1.025,7.2
28,tm90896,The Return of the Prodigal Son,MOVIE,1976,Not Available,124,music,DZ,,tt0074168,7.2,780.0,1.858,5.3
29,tm336403,Khoon Khoon,MOVIE,1973,Not Available,131,thriller,IN,,tt0230412,5.1,41.0,1.948,3.8
30,tm107372,Manoranjan,MOVIE,1974,Not Available,162,drama,IN,,tt0071811,6.5,237.0,1.532,5.3
31,tm358653,Ujala,MOVIE,1959,Not Available,142,drama,IN,,tt0157132,6.6,78.0,0.84,6.0
32,tm259684,Whispers,MOVIE,1980,Not Available,93,documentation,LB,,tt0170803,7.8,78.0,0.6,5.0
